"col1","col2","col3","col4","col5","col6","col7","col8"
"2025-3495","11/30/2025 12:14 PM","11/28/2025 11:00 PM - 11/29/2025 12:00 PM","Larceny","Lafayette Residence Hall","Washington Square","A guest reported a Larceny.","Open"
"2025-3489","11/29/2025 7:05 AM","11-28-2025 - 11/29/2025 7:02 AM","Stalking/Domestic Violence","Weinstein Residence Hall","Washington Square","A campus safety officer reported Stalking/Domestic Violence.","Closed/Referred to NYPD"
"2025-3470","11/26/2025 7:24 PM","11/26/2025 3:00 PM - 11/26/2025 4:45 PM","Larceny","Bobst Library","Washington Square","A student reported a Larceny.","Open"
"2025-3468","11/26/2025 1:00 PM","11/24/2025 7:00 PM - 11/26/2025 12:30 PM","Larceny","Palladium Hall","Washington Square","A student reported a Larceny.","Open"
"2025-3465","11/26/2025 12:11 AM","11/25/2025 11:15 PM - 11/25/2025 11:20 PM","Harassment","Founders Hall -Exterior","Washington Square","A student reported Harassment.","Open"
"2025-3461","11/25/2025 3:30 PM","10/17/2025 10:29 PM - 10/20/2025 11:53 AM","Larceny - Embezzlement","Jacobs Hall","Brooklyn Commons","A student reported a Larceny - Embezzlement","Closed/Referred to NYPD"
"2025-3459","11/25/2025 4:02 PM","11/25/2025 1:17 PM - 11/25/2025 2:24 PM","Falsely Reporting An Incident (x2)","370 Jay Street","Brooklyn Commons","NYPD reported two swatting calls.","Closed/Referred to NYPD"
"2025-3458","11/25/2025 1:31 PM","11/22/2025 10:00 PM - 11/25/2025 1:12 PM","Larceny","Paulson Center","Washington Square","A student reported a larceny.","Open"
"2025-3457","11/24/2025 1:00 PM","11/24/2025 12:30 PM - 11/24/2025 1:00 PM","Harassment","East Building","Washington Square","A staff member reported Harassment.","Open"
"2025-3456","11/25/2025 5:31 AM","11/24/2025","Harassment","Van Hall- Exterior","Washington Square","A student reported harassment.","Open"
"2025-3454","11/25/2025 3:47 AM","11/25/2025 3:33 AM - 11/25/2025 3:35 AM","Criminal Mischief","Basic Science Building","Kips Bay","A Campus Safety Officer reported vandalism.","Closed/Referred to NYPD"
"2025-3448","11/24/2025 7:35 AM","11-24-2025 7:35 a.m","Falsely Reporting an Incident","370 Jay Street","Brooklyn Commons","NYPD reported a swatting incident.","Closed/Referred to NYPD"
"2025-3452","11/24/2025 4:19 PM","11/20/2025 11:00 AM - 11/20/2025 3:00 PM","Larceny","44 West 4th Street","Washington Square","A staff member reported a Larceny.","Open"
"2025-3445","11/23/2025 8:25 PM","11/23/2025 20:25","Falsely Reporting an Incident","370 Jay Street","Brooklyn Commons","NYPD reported a swatting call.","Closed/Referred to NYPD"
"04074-2025","11/23/2025 10:30 AM","10/4/2025 0:00","Fondling","Third Avenue North","Washington Square","A student reported Fondling.","Closed/Referred to Title IX"
"2025-3431","11/22/2025 3:45 AM","11/22/2025 3:45","Criminal Mischief","Barney Building","Washington Square","A Campus Safety Officer observed graffiti","Closed/Referred to NYPD"
"2025-3435","11/22/2025 3:14 PM","11/22/2025 15:00","Harassment","Paulson Center","Washington Square","A student reported Harassment.","Open"
"04059-2025","11/22/2025 12:54 AM","11/21/2025 23:17","Liquor Law Violation (x2)","Founders Hall","Washington Square","An RA reported a Liquor Law Violation.","Closed/Referred to Office of Student Conduct & Community Standards"
"2025-3429","11/22/2025 12:23 AM","11-22-2025 12:23am","Criminal Mischief","Gould Plaza","Washington Square","A Campus Safety Officer observed graffiti.","Closed/Referred to NYPD"
"2025-3427","11/21/2025 7:20 PM","11/12/2025 2:00 PM - 11/18/2025 2:00 PM","Larceny - Extortion","Founders Hall","Washington Square","A student reported Larceny - Extortion","Closed/Referred to NYPD"
"2025-3424","11/21/2025 4:15 PM","11/21/2025 4:15 PM","Falsely Reporting an Incident","Bobst Library","Washington Square","NYPD reported a swatting call.","Closed/Referred to NYPD"
"04024-2025","11/20/2025 4:46 PM","11/17/2025 2:15 AM","Liquor Law Violation","Weinstein Residence Hall","Washington Square","An RA reported underage possession of alcohol.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-3411","11/20/2025 5:30 PM","11/20/2025 5:12 PM","Unlawful Surveillance","Global Center for Academic and Spiritual Life","Washington Square","A staff member reported Unlawful Surveillance.","Closed/ Referred to NYPD"
"2025-3407","11/20/2025 2:53 PM","11/19/2025 11:00 PM - 11/19/2025 11:30 PM","Harassment (x2)","Bobst Library","Washington Square","A student reported Harassment.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-3406","11/20/2025 3:19 PM","9-2025 - 11/19/2025","Harassment","Othmer Residence Hall","Washington Square","A Campus Safety Officer reported Harassment.","Open"
"2025-3402","11/20/2025 11:05 AM","11/20/2025 11:05 AM","Harassment","1 Washington Place","Washington Square","A staff member reported Harassment.","Open"
"2025-3401","11/20/2025 9:58 AM","11/19/2025 7:30 PM - 11/19/2025 9:10 PM","Larceny - Extortion","Second Street Residence Hall","Washington Square","A student reported stolen property.","Open"
"03399-2025","11/20/2025 10:17 AM","11/20/2025 10:17 AM - 11/20/2025 10:19 AM","Falsely Reporting an Incident","Bobst Library","Washington Square","NYPD reported a Swatting Call.","Closed/ Referred to NYPD"
"04008-2025","11/19/2025 8:57 PM","11/19/2025 7:37 PM","Liquor Law Violation / Drug Law Violation","Founders Hall","Washington Square","An RA reported Liquor Law Violation and Drug Law Violation.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03991-2025","11/19/2025 12:52 PM","11/18/2025 2:30 PM","Larceny","Palladium Residence Hall","Washington Square","A student reported missing property.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-3396","11/19/2025 3:03 PM","11/15/2025 9:00 PM - 11/15/2025 10:38 PM","Larceny","Weinstein Residence Hall","Washington Square","A contractor reported missing property.","Open"
"2025-3424","11/21/2025 4:15 PM","11/21/2025 4:15 PM","Falsely Reporting an Incident","Bobst Library","Washington Square","NYPD reported a swatting call.","Closed/Referred to NYPD"
"2025-3393","11/19/2025 11:49 AM","11/19/2025 11:49 AM - 11/19/2025 2:18 PM","Harassment","Schwartz Hall","Kips Bay","A visitor reported Harassment.","Closed/ Referred to NYPD"
"2025-3392","11/19/2025 1:20 PM","11/07/2025 5:30 PM - 11/07/2025 5:40 PM","Larceny","Kimmel Center","Washington Square","A student reported missing property.","Open"
"IRVS 2025-007","11/18/2025 10:22 AM","11/17/2025 10:45 AM","Robbery","25 W Houston Street - Exterior","Washington Square","NYPD reported a Robbery.","Closed/ Referred to NYPD"
"03983-2025","11/19/2025 10:05 AM","09-21-2025 - 10/11/2025","Harassment","Carlyle Court Residence Hall","Washington Square","A student reported Harassment.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03977-2025","11/19/2025 11:32 AM","11/17/2025 6:30 PM","Liquor Law Violation / Drug Law Violation","Third Avenue North Residence Hall","Washington Square","An RA reported underage possession of alcohol and drugs.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03976-2025","11/19/2025 11:48 AM","11/17/2025 2:20 PM","Liquor Law Violation (x4)","Palladium Residence Hall","Washington Square","An RA reported Liquor Law Violation.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-3385","11/18/2025 3:56 PM","11/18/2025 2:20 PM - 11/18/2025 3:30 PM","Larceny","Palladium Residence Hall","Washington Square","A student reported missing property.","Open"
"2025-3382","11/17/2025 7:45 PM","11/17/2025 7:45 PM","Larceny","Shimkin Hall","Washington Square","An NYU-affiliate reported missing property.","Open"
"2025-3377","11/17/2025 4:43 PM","11/17/2025 3:35 AM - 11/17/2025 4:15 PM","Larceny","Pallladium Residence Hall","Washington Square","A student reported missing property.","Closed/ Referred to NYPD"
"2025-3376","11/17/2025 4:46 PM","11/17/2025 4:38 PM","Harassment","Bobst Library","Washington Square","A student reported Harassment.","Open"
"2025-3375","11/17/2025 2:48 PM","11/07/2025 4:01 PM","Larceny - Extortion","19 University Place","Washington Square","A student reported stolen property.","Open"
"2025-3374","11/17/2025 1:45 PM","11/14/2025 4:00 PM","Harassment","Weissman Hall","Kips Bay","A staff member reported Harassment.","Open"
"03938-2025","11/17/2025 12:18 PM","11/14/2025 11:51 AM","Liquor Law Violation (x2)","Lafayette Residence Hall","Washington Square","An RA reported underage possession of alcohol.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03911-2025","11/17/2025 10:26 AM","11/14/2025 7:00 PM - 11/15/2025 10:50 AM","Larceny","Brittany Residence Hall","Washington Square","A student reported missing property.","Open"
"03889-2025","11/17/2025 11:23 AM","11/08/2025 8:16 PM","Liquor Law Violation (x4)","Palladium Residence Hall","Washington Square","An RA reported Liquor Law Violation.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-3367","11/16/2025 11:48 AM","11/15/2025 11:00 PM - 11/16/2025 11:48 AM","Larceny","Jacobs Hall","Brooklyn Commons","A visitor reported missing property.","Open"
"2025-3360","11/15/2025 3:30 PM","11-08-2025 - 11/15/2025","Stalking","Paulson Center","Washington Square","A student reported Stalking.","Open"
"2025-3357","11/15/2025 3:00 AM","11/15/2025 12:00 AM - 11/15/2025 3:00 AM","Larceny","Paulson Center","Washington Square","A student reported missing property.","Open"
"2025-3341","11/14/2025 12:50 PM","11/14/2025 7:30 AM - 11/14/2025 1:15 PM","Harassment","Schwartz Hall","Kips Bay","A student reported Harassment.","Open"
"2025-3340","11/14/2025 12:46 PM","11/14/2025 12:46 PM - 11/14/2025 12:48 PM","Falsely Reporting an Incident","370 Jay Street","Brooklyn Commons","NYPD reported a Swatting call.","Closed/ Referred to NYPD"
"2025-3336","11/14/2025 10:13 AM","11/13/2025 10:02 PM - 11/14/2025 9:45 AM","Larceny","725 Broadway","Washington Square","A staff member reported missing property.","Open"
"03878-2025","11/14/2025 10:43 AM","11/13/2025 3:10 PM","Liquor Law Violation","Broome Street Residence Hall","Washington Square","A student reported a Liquor Law Violation. x2","Closed/ Referred to Office of Student Conduct & Community Standards"
"03859-2025","11/13/2025 5:33 PM","11/12/2025 10:01 PM","Liquor Law Violation","Gramercy Green Residence Hall","Washington Square","A student reported a Liquor Law Violation.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03858-2025","11/13/2025 5:26 PM","11/12/2025 10:01 PM","Liquor Law Violation","Gramercy Green Residence Hall","Washington Square","A student reported a Liquor Law Violation.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03857-2025","11/13/2025 5:22 PM","11/13/2025 4:10 PM","Liquor Law Violation","Broome Street Residence Hall","Washington Square","A student reported a Liquor Law Violation.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-3328","11/13/2025 10:11 PM","09/01/2025 10:00 PM","Drug Law Violation","Weinstein Residence Hall","Washington Square","A student reported a Drug Law Violation.","Open"
"2025-3327","11/13/2025 5:59 PM","11/13/2025 6:01 PM - 11-13-2025","Harassment","Rubin Residence Hall - Exterior","Washington Square","A student reported Harassment.","Open"
"2025-3321","11/13/2025","11/13/2025 1:05 PM - 11/13/2025 1:50 PM","Harassment","Alumni Relations","Washington Square","A staff member reported Harassment.","Closed/ Referred to NYPD"
"2025-3320","11/13/2025 1:10 PM","11/13/2025 11:00 AM - 11-13-2025","Harassment","American Ballet Theatre","Washington Square","A student reported Harassment.","Open"
"2025-3318","11/13/2025 11:14 AM","07-21-2025 - 11-12-2025","Harassment","20 Cooper Square","Washington Square","A staff member reported Harassment.","Open"
"03844-2025","11/13/2025 5:38 AM","11/10/2025 4:30 PM - 11-10-2025","Liquor Law Violation","Coral Tower Residence Hall","Washington Square","A student reported a Liquor Law Violation.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03838-2025","11-13-2025 12:!5 AM","11/12/2025 8:34 PM - 11-12-2025","Liquor Law Violation","Grammercy Green Residence Hall","Washington Square","A student reported a Liquor Law Violation. x2","Closed/ Referred to Office of Student Conduct & Community Standards"
"03817-2025","11/12/2025 5:50 PM","11/12/2025 5:20 PM - 11-12-2025","Liquor Law Violation","Lafayette Residence Hall","Washington Square","A student reported a Liquor Law Violation.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03810-2025","11/12/2025 3:11 PM","11/12/2025 2:13 PM - 11-12-2025","Liquor Law Violation","Greenwich Residence Hall","Washington Square","A student reported a Liquor Law Violation. x5","Closed/ Referred to Office of Student Conduct & Community Standards"
"03809-2025","11/12/2025 2:52 PM","11-07-2025 - 11/11/2025 7:33 AM","Criminal Mischief","Paulson Center","Washington Square","A staff member reported Criminal Mischief.","Open"
"2025-3306","11/12/2025 6:17 PM","11/12/2025 5:30 PM - 11/12/2025 6:10 PM","Larceny","Palladium Residence Hall","Washington Square","A student reported a Larceny.","Open"
"2025-3302","11/12/2025 2:19 PM","11/12/2025 12:30 PM - 11/12/2025 1:00 PM","Larceny","Kaufman Management Center","Washington Square","A student reported a Larceny.","Open"
"03790-2025","11/11/2025 8:00 PM","11/10/2025 5:30 PM","Liquor Law Violation","Coral Tower Residence Hall","Washington Square","An RA reported underage possession of alcohol.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03780-2025","11/11/2025 12:40 PM","11/09/2025 10:50 AM","Liquor Law Violation (x4)","Palladium Residence Hall","Washington Square","An RA reported underage possession of alcohol.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-3289","11/11/2025 2:10 PM","11/11/2025 1:30 PM","Larceny - Extortion","724 Broadway - Exterior","Washington Square","A staff member reported Larceny.","Closed/ Referred to NYPD"
"2025-3287","11/11/2025 12:24 PM","11/11/2025 12:24 PM - 11/11/2025 12:35 PM","Falsely Reporting an Incident","Bobst Library","Washington Square","The NYPD reported a Swatting Call.","Closed/ Referred to NYPD"
"2025-3280","11/11/2025 8:00 AM","11/11/2025 8:00 AM - 11/11/2025 8:37 AM","Criminal Mischief","113 2nd Avenue","Washington Square","A campus safety officer reported Criminal Mischief.","Closed/ Referred to NYPD"
"2025-3278","11/10/2025 6:57 PM","11/10/2025 6:45 PM - 11/10/2025 6:57 PM","Robbery","West 3rd Street Between Mercer and Broadway","Washington Square","A student reported a Robbery.","Closed/Referred to NYPD"
"2025-3273","11/10/2025 2:51 PM","11/10/2025 2:30 PM - 11/10/2025 2:50 PM","Falsely Reporting an Incident","Alumni Relations","Washington Square","A staff member reported a Falsely Reported Incident.","Closed/Referred to NYPD"
"2025-3271","11/10/2025 2:04 PM","11/09/2025 7:37 PM - 11/10/2025 1:50 PM","Larceny","Paulson Center","Washington Square","A student reported a Larceny.","Open"
"2025-3267","11/10/2025 11:37 AM","11/07/2025 1:50 PM - 11/07/2025 3:00 PM","Larceny","Kimmel Center","Washington Square","A student reported a Larceny.","Open"
"03749-2025","11/09/2025 9:17 PM","11/09/2025 7:30 PM","Liquor Law Violation","Carlyle Court Residence Hall","Washington Square","A student reported a Liquor Law Violation. x2","Closed/Referred to Office of Student Conduct & Community Standards"
"03743-2025","11/09/2025 3:33 PM","11/09/2025 2:28 PM","Liquor Law Violation","Carlyle Court Residence Hall","Washington Square","A student reported a Liquor Law Violation. x2","Closed/Referred to Office of Student Conduct & Community Standards"
"03732-2025","11/09/2025 1:57 AM","11/08/2025 1:50 PM","Liquor Law Violation","Broome Street Residence Hall","Washington Square","A student reported a Liquor Law Violation.","Closed/Referred to Office of Student Conduct & Community Standards"
"2025-3258","11/09/2025 1:02 PM","11/09/2025 9:00 AM","Larceny","Paulson Center","Washington Square","A student reported a Larceny.","Open"
"2025-3252","11/08/2025 11:36 AM","11/08/2025 9:00 AM - 11/08/2025 11:35 AM","Larceny","Palladium Residence Hall - Exterior","Washington Square","An alumnus reported a Larceny.","Open"
"2025-3244","11/07/2025 5:38 PM","10/30/2025 10:00 PM - 11/07/2025 5:30 PM","Larceny","Paulson Center","Washington Square","A student reported a Larceny.","Open"
"2025-3241","11/07/2025 3:24 PM","11/07/2025 1:13 PM","Motor Vehicle Theft","Meyer Hall - Exterior","Washington Square","A student reported a Motor Vehicle Theft.","Closed/Referred to NYPD"
"2025-3238","11/07/2025 9:45 AM","11/07/2025 9:27 AM - 11/07/2025 10:32 AM","Criminal Trespass","Paulson Center","Washington Square","A campus safety officer reported a Criminal Trespass.","Open"
"03693-2025","11/06/2025 5:20 PM","11/01/2025 9:38 PM - 11/04/2025 9:30 PM","Criminal Mischief","Gramercy Green Residence Hall","Washington Square","A student reported Criminal Mischief.","Open"
"2025-3233","11/06/2025 7:01 PM","11/05/2025 8:25 PM - 11/06/2025 2:30 PM","Larceny","404 Lafayette","Washington Square","A student reported a Larceny.","Open"
"2025-3229","11/06/2025 12:31 PM","11/06/2025 12:00 PM - 11/06/2025","Larceny","404 Lafayette","Washington Square","A student reported a Larceny","Open"
"2025-3226","11/06/2025 8:40 AM","11/06/2025 6:30 AM - 11/06/2025 10:30 AM","Criminal Mischief","111 2nd Avenue - Exterior","Washington Square","A staff member reported Criminal Mischief.","Closed/Referred to NYPD"
"03672-2025","11/05/2025 5:18 PM","11/05/2025 4:01 PM","Liquor Law Violation","Othmer Residence Hall","Brooklyn Commons","A student reported a Liquor Law Violation. x4","Closed/Referred to Office of Student Conduct & Community Standards"
"03671-2025","11/05/2025 4:54 PM","11/05/2025 4:00 PM - 11-05-2025","Larceny","Palladium Residence Hall","Washington Square","A student reported a Larceny.","Open"
"03645-2025","11/04/2025 4:24 PM","09-30-2025","Harassment","College of Nursing","Kips Bay","A staff member reported Harassment.","Closed/Referred to Office of Student Conduct & Community Standards"
"03638-2025","11/04/2025 12:11 PM","11/03/2025 9:30 PM - 11-03-2025","Harassment","Forbes Building","Washington Square","A student reported Harassment.","Closed/Referred to Office of Student Conduct & Community Standards"
"2025-3216","11/05/2025 8:44 AM","11/05/2025 8:44 PM - 11/05/2025 8:58 AM","Criminal Mischief","Barney Building - Exterior","Washington Square","A campus safety officer reported Criminal Mischief.","Closed/Referred to NYPD"
"2025-3209","11/04/2025 6:12 PM","11/04/2025 2:00 PM - 11/04/2025 6:09 PM","Motor Vehicle Theft","721 Broadway - Exterior","Washington Square","A student reported a Motor Vehicle Theft.","Open"
"2025-3204","11/04/2025 1:31 PM","11-04-2025 - 11/04/2025 1:20 PM","Larceny","Paulson Center","Washington Square","A student reported a Larceny.","Open"
"2025-3203","11/04/2025 3:21 PM","11/03/2025 3:00 PM - 11/03/2025 10:30 PM","Larceny","Warren Weaver Hall","Washington Square","A staff member reported a Larceny.","Closed/Referred to NYPD"
"2025-3202","11/04/2025 3:06 PM","11/04/2025 12:00 PM","Weapons Law Violation/Harassment","Kimmel Center","Washington Square","A staff member reported a Weapons Law Violation/Harassment.","Open"
"2025-3201","11/04/2025 1:30 PM","11-03-2025","Burglary","Jacobs Hall","Brooklyn Commons","A staff member reported an Attempted Burglary. x7","Open"
"2025-3196","11/04/2025 11:44 AM","11/04/2025 11:34 AM - 11/04/2025","Falsely Reporting an Incident","Wagner Graduate School","Washington Square","A campus safety officer reported a Falsely Reported Incident.","Closed/Referred to NYPD"
"2025-3194","11/04/2025 10:19 AM","11/04/2025 12:15 AM - 11/04/2025","Harassment","Palladium Residence Hall","Washington Square","A student reported Harassment.","Open"
"03628-2025","11/04/2025 2:12 AM","11/03/2025 12:00 AM","Liquor Law Violation","Founders Hall","Washington Square","An RA reported underage possession of alcohol.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03618-2025","11/03/2025 4:30 PM","11/03/2025 9:30 AM","Criminal Mischief","Gramercy Green Residence Hall","Washington Square","A staff member reported vandalism.","Open"
"2025-3189","11/03/2025 9:30 PM","11/03/2025 9:30 PM","Harassment","Forbes Building","Washington Square","A student reported Harassment.","Open"
"2025-3186","11/03/2025 3:11 PM","11/03/2025 3:11 PM - 11/03/2025 3:35 PM","Disorderly Conduct","Schwartz Hall","Kips Bay","A staff member reported Disorderly Conduct.","Closed/ Referred to NYPD"
"2025-3183","11/03/2025 11:12 AM","11/03/2025 9:50 PM - 11/03/2025 11:10 AM","Larceny","Gramercy Green Residence Hall","Washington Square","A student reported missing property.","Closed/ Referred to NYPD"
"2025-3182","11/03/2025 8:37 AM","11/03/2025 8:35 AM - 11/03/2025 8:37 AM","Simple Assault","40 East 7th Street - Exterior","Washington Square","A staff member reported Simple Assault.","Closed/ Referred to NYPD"
"03573-2025","11/01/2025 1:49 AM","10/31/2025 10:26 PM","Liquor Law Violation (x7)","Brittany Hall","Washington Square","An RA reported underage possession of alcohol.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03566-2025","11/01/2025 4:42 AM","11/01/2025 4:13 AM","Liquor Law Violation (x4)","Third Avenue North Residence Hall","Washington Square","An RA reported underage possession of alcohol.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03560-2025","11/01/2025 1:31 AM","10/31/2025 9:56 PM","Liquor Law Violation (x3)","Brittany Hall","Washington Square","An RA reported underage possession of alcohol.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03559-2025","11/01/2025 1:28 AM","10/31/2025 11:20 PM","Liquor Law Violation (x12)","Lipton Hall","Washington Square","An RA reported underage possession of alcohol.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03556-2025","11/01/2025 12:18 AM","11/01/2025 12:00 AM","Liquor Law Violation","Gramercy Green Residence Hall","Washington Square","An RA reported underage possession of alcohol.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-3177","11/02/2025 1:58 PM","11-01-2025 - 11/02/2025","Larceny","Othmer Hall","Brooklyn Commons","A student reported extortion.","Closed/ Referred to NYPD"
"2025-3176","11/02/2025 2:10 PM","11/02/2025 1:30 PM - 11/02/2025 2:10 PM","Criminal Trespass","238 Thompson Street","Washington Square","A Campus Safety Officer reported Criminal Trespass.","Open"
"2025-3174","11/02/2025 11:50 AM","11/02/2025 11:50 AM - 11/02/2025 11:56 AM","Criminal Trespass","Paulson Center","Washington Square","A Campus Safety Officer reported Criminal Trespass.","Open"
"2025-3168","11/02/2025 10:41 PM","11/02/2025 10:41 PM","Criminal Mischief","Gould Plaza","Washington Square","A Campus Safety Officer reported graffiti.","Open"